date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:27:27	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267c5a03d-4e9f%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.eot	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.eot	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:28	539425/539425	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267c5a0cc-83b21%22	https://danslacuisinededede.com/dff/js/jquery-ui.js	D:/sem6/block/danslacuisinededede.com/dff/js/jquery-ui.js	(from https://danslacuisinededede.com/dff/about.html)
21:27:28	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267c5a041-4e9f%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regulard41d.eot?	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regulard41dd41d.eot	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:28	18028/18028	---M--	200	added ('OK')	application/font-woff2	etag:%2267c5a040-466c%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.woff2	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.woff2	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:29	23424/23424	---M--	200	added ('OK')	application/font-woff	etag:%2267c5a040-5b80%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.woff	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.woff	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:29	45404/45404	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2267c5a03f-b15c%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.ttf	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.ttf	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:30	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c5a03e-1a8c2%22	https://danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.svg	D:/sem6/block/danslacuisinededede.com/dff/fonts/glyphicons-halflings-regular.svg	(from https://danslacuisinededede.com/dff/css/bootstrap.css)
21:27:30	12136/12136	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2267c5a0f6-2f68%22	https://danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c6.eot?5510888	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c690c6.eot	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:31	7536/7536	---M--	200	added ('OK')	application/font-woff	etag:%2267c5a0f8-1d70%22	https://danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c6.woff?5510888	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c690c6.woff	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:31	11968/11968	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2267c5a0f8-2ec0%22	https://danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c6.ttf?5510888	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c690c6.ttf	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:32	13691/13691	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c5a0f6-357b%22	https://danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c6.svg?5510888	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/fonts/revicons/revicons90c690c6.svg	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:32	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%2267c5a0e8-146%22	https://danslacuisinededede.com/dff/plugins/revolution/css/openhand.cur	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/css/openhand.cur	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:33	326/326	---M--	200	added ('OK')	application/octet-stream	etag:%2267c5a0e7-146%22	https://danslacuisinededede.com/dff/plugins/revolution/css/closedhand.cur	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/css/closedhand.cur	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:33	933/933	---M--	200	added ('OK')	image/png	etag:%2267c5a0df-3a5%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/gridtile.png	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/gridtile.png	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:34	951/951	---M--	200	added ('OK')	image/png	etag:%2267c5a0e1-3b7%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_white.png	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_white.png	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:35	938/938	---M--	200	added ('OK')	image/png	etag:%2267c5a0e0-3aa%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_3x3.png	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_3x3.png	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:35	935/935	---M--	200	added ('OK')	image/png	etag:%2267c5a0e0-3a7%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_3x3_white.png	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/gridtile_3x3_white.png	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:35	184/184	---M--	200	added ('OK')	image/png	etag:%2267c5a0df-b8%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/coloredbg.png	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/coloredbg.png	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:36	2545/2545	---M--	200	added ('OK')	image/gif	etag:%2267c5a0e1-9f1%22	https://danslacuisinededede.com/dff/plugins/revolution/assets/loader.gif	D:/sem6/block/danslacuisinededede.com/dff/plugins/revolution/assets/loader.gif	(from https://danslacuisinededede.com/dff/plugins/revolution/css/settings.css)
21:27:36	37040/37040	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a00e-90b0%22	https://danslacuisinededede.com/dff/css/font-awesome.css	D:/sem6/block/danslacuisinededede.com/dff/css/font-awesome.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:37	2947/2947	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a00e-b83%22	https://danslacuisinededede.com/dff/css/flaticon.css	D:/sem6/block/danslacuisinededede.com/dff/css/flaticon.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:37	79169/79169	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a00d-13541%22	https://danslacuisinededede.com/dff/css/animate.css	D:/sem6/block/danslacuisinededede.com/dff/css/animate.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:38	4113/4113	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a013-1011%22	https://danslacuisinededede.com/dff/css/owl.css	D:/sem6/block/danslacuisinededede.com/dff/css/owl.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:38	5013/5013	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a011-1395%22	https://danslacuisinededede.com/dff/css/jquery.fancybox.css	D:/sem6/block/danslacuisinededede.com/dff/css/jquery.fancybox.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:38	132601/132601	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a00f-205f9%22	https://danslacuisinededede.com/dff/css/hover.css	D:/sem6/block/danslacuisinededede.com/dff/css/hover.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:39	37296/37296	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a00f-91b0%22	https://danslacuisinededede.com/dff/css/jquery-ui.css	D:/sem6/block/danslacuisinededede.com/dff/css/jquery-ui.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:40	772/772	---MCZ	200	added ('OK')	text/css	etag:W/%2267c5a011-304%22	https://danslacuisinededede.com/dff/css/jquery.bootstrap-touchspin.css	D:/sem6/block/danslacuisinededede.com/dff/css/jquery.bootstrap-touchspin.css	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:40	2353/2353	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2267c5a074-931%22	https://danslacuisinededede.com/dff/images/icons/preloader.svg	D:/sem6/block/danslacuisinededede.com/dff/images/icons/preloader.svg	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:40	3679/3679	---M--	200	added ('OK')	image/png	etag:%2267c5a076-e5f%22	https://danslacuisinededede.com/dff/images/icons/seperater.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/seperater.png	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:41	1216/1216	---M--	200	added ('OK')	image/png	etag:%2267c5a075-4c0%22	https://danslacuisinededede.com/dff/images/icons/seperater-2.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/seperater-2.png	(from https://danslacuisinededede.com/dff/css/style.css)
21:27:42	1132/1132	---M--	200	added ('OK')	image/png	etag:%2267c5a072-46c%22	https://danslacuisinededede.com/dff/images/icons/icon-cross.png	D:/sem6/block/danslacuisinededede.com/dff/images/icons/icon-cross.png	(from https://danslacuisinededede.com/dff/css/style.css)
